Audience Name,Media Channel,GRPs,Cover %,Avg. Freq,Cover,Impressions
ABC1 Adults,Audio,10,8.42,1.19,2421676.2,2881794.678
ABC1 Adults,Audio,15,11.72,1.28,3370789.2,4314610.176
ABC1 Adults,Audio,20,14.6,1.37,4199106,5752775.22
ABC1 Adults,Audio,25,17.13,1.46,4926759.3,7193068.578
ABC1 Adults,Audio,30,19.4,1.55,5579634,8648432.7
ABC1 Adults,Audio,35,21.44,1.63,6166358.4,10051164.19
ABC1 Adults,Audio,40,23.29,1.72,6698436.9,11521311.47
ABC1 Adults,Audio,45,24.98,1.8,7184497.8,12932096.04
ABC1 Adults,Audio,50,26.54,1.88,7633169.4,14350358.47
ABC1 Adults,Audio,55,27.99,1.97,8050203.9,15858901.68
ABC1 Adults,Audio,60,29.33,2.05,8435601.3,17292982.67
ABC1 Adults,Audio,65,30.59,2.13,8797989.9,18739718.49
ABC1 Adults,Audio,70,31.76,2.2,9134493.6,20095885.92
ABC1 Adults,Audio,75,32.87,2.28,9453740.7,21554528.8
ABC1 Adults,Audio,80,33.91,2.36,9752855.1,23016738.04
ABC1 Adults,Audio,85,34.9,2.44,10037589,24491717.16
ABC1 Adults,Audio,90,35.81,2.51,10299314.1,25851278.39
ABC1 Adults,Audio,95,36.63,2.59,10535154.3,27286049.64
ABC1 Adults,Audio,100,37.43,2.67,10765242.3,28743196.94
ABC1 Adults,Audio,110,38.94,2.83,11199533.4,31694679.52
ABC1 Adults,Audio,120,40.33,2.98,11599311.3,34565947.67
ABC1 Adults,Audio,130,41.63,3.12,11973204.3,37356397.42
ABC1 Adults,Audio,140,42.85,3.27,12324088.5,40299769.4
ABC1 Adults,Audio,150,43.99,3.41,12651963.9,43143196.9
ABC1 Adults,Audio,160,45.06,3.55,12959706.6,46006958.43
ABC1 Adults,Audio,170,46.07,3.69,13250192.7,48893211.06
ABC1 Adults,Audio,180,47.01,3.83,13520546.1,51783691.56
ABC1 Adults,Audio,190,47.88,3.97,13770766.8,54669944.2
ABC1 Adults,Audio,200,48.71,4.11,14009483.1,57578975.54
ABC1 Adults,Audio,210,49.5,4.24,14236695,60363586.8
ABC1 Adults,Audio,220,50.25,4.38,14452402.5,63301522.95
ABC1 Adults,Audio,230,50.98,4.51,14662357.8,66127233.68
ABC1 Adults,Audio,240,51.67,4.64,14860808.7,68954152.37
ABC1 Adults,Audio,250,52.34,4.78,15053507.4,71955765.37
ABC1 Adults,Audio,260,52.98,4.91,15237577.8,74816507
ABC1 Adults,Audio,270,53.58,5.04,15410143.8,77667124.75
ABC1 Adults,Audio,280,54.16,5.17,15576957.6,80532870.79
